articles_links-href,prix,marque,modele,taille_ecran,couleur,description,image-src
https://www.amazon.fr/Lenovo-IdeaPad-14AMN7-Ordinateur-Portable/dp/B0C43VYGS2/ref=sr_1_30?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-30,349,Lenovo,IdeaPad 1 14AMN7,14 Pouces,Gris,"Lenovo IdeaPad 1 14AMN7 - Ordinateur Portable 14'' FHD (AMD Ryzen 3 7320U, RAM 8Go, SSD 256Go, AMD Radeon 610M Graphics, Windows 11 Home en mode S) Clavier AZERTY Français - Gris",https://m.media-amazon.com/images/I/71blWDXiIpL._AC_SX679_.jpg
https://www.amazon.fr/Dell-Inspiron-Ordinateur-Processeur-Graphique/dp/B0CHTRT1LS/ref=sr_1_29?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-29,479,Dell,Inspiron 15 3520 Laptop,"15,6 Pouces",Platinum Silver,"Dell Inspiron 15 3520 Ordinateur Portable, Processeur 12th Gen Intel Core i5-1235U, Écran 15.6"" FHD 120Hz 250 nit, 8Go RAM, 256Go SSD, Graphique Intel UHD, Windows 11 Home, Platinum Silver",https://m.media-amazon.com/images/I/81XgQFhjhlL._AC_SX679_.jpg
https://www.amazon.fr/ASUS-Zenbook-Flip-OLED-UN5401QA-KN160W/dp/B07ML1WRY6/ref=sr_1_28?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-28,1299,ASUS,UN5401QA-KN160W,14 Pouces,Jade Black,"ASUS Zenbook 14 Flip OLED UN5401QA-KN160W Ordinateur Portable Convertible 360° Ecran 14'' 2,8K OLED Tactile (AMD Ryzen 9 5900HX, 16Go RAM, 1TB SSD) Windows 11 Home Clavier AZERTY Français",https://m.media-amazon.com/images/I/7124EwRKgIL._AC_SX679_.jpg
https://www.amazon.fr/Dell-Inspiron-Ordinateur-Portable-Processeur/dp/B0CJJWQZY2/ref=sr_1_27?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-27,849,Dell,Inspiron 16 5630 Laptop,16 Pouces,Platinum Silver,"Dell Inspiron 16 5630 Ordinateur Portable, Processeur Intel Core i5-1340P, Écran 16"" 16:10 FHD+ 250nits, 16Go RAM, 512Go SSD, Graphique Intel Iris XE, Windows 11 Home, Platinum Silver",https://m.media-amazon.com/images/I/81pmJn-cyYL.__AC_SX300_SY300_QL70_ML2_.jpg
https://www.amazon.fr/Apple-MacBook-Pro-Ordinateur-Portable-10-c%C5%93urs/dp/B0CM5Z7D6H/ref=sr_1_26?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-26,1887,Apple,MacBook Pro,"14,2 Pouces",Gris sidéral,"Apple 2023 MacBook Pro Ordinateur Portable avec M3, CPU 8 cœurs, GPU 10 cœurs : écran Liquid Retina XDR 14,2 Pouces, 8 Go de mémoire unifiée, 512 Go de Stockage SSD; Gris sidéral",https://m.media-amazon.com/images/I/61yB6T5WWjL._AC_SX679_.jpg
https://www.amazon.fr/Apple-MacBook-avec-13-Pouces-256-Go/dp/B08N5VNVQ2/ref=sr_1_25?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-25,931,Apple,macbook air,13 Pouces,Gris sidéral,"Apple Ordinateur Portable MacBook Air 2020 : Puce M1, éCran Retina 13′′, 8 Go de RAM, 256 Go de Stockage SSD, Clavier rétroéClairé, Caméra FaceTime HD, Touch ID; Gris Sidéral",https://m.media-amazon.com/images/I/61YCVTGWnRL._AC_SX679_.jpg
https://www.amazon.fr/SGIN-Ordinateur-Portable-Bluetooth-Extensible/dp/B0CLY111RZ/ref=sr_1_24?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-24,329,SGIN,,"17,3 Pouces",,"SGIN Ordinateur Portable 17,3 Pouces 8 Go RAM 512 Go SSD Notebook, Celeron Dual Core Up to 2.8 Ghz,FHD 1920 * 1080, 2.4/5.0G WiFi, 4.2 Bluetooth, Prend en Mémoire Extensible 512 Go TF",https://m.media-amazon.com/images/I/81Ui+FfER2L._AC_SX679_.jpg
https://www.amazon.fr/Lenovo-Ordinateur-Portable-RadeonTM-7467/dp/B0CPJNNLR4/ref=sr_1_23?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-23,444,Lenovo,,"15,6 Pouces","15,6 Inch","Lenovo (FullHD 15,6 Zoll Ordinateur Portable Gaming (AMD® Ryzen5 7520U 8 Threads, 4.30 GHz, 16Go DDR5, 512 Go SSD, Radeon™ 610M, HDMI, BT, USB 3.0, Cam, Windows 11, Clavier AZERTY [français]) #7467",https://m.media-amazon.com/images/I/51HPh+MK7-L._AC_SX679_.jpg
https://www.amazon.fr/Apple-2022-MacBook-avec-Puce/dp/B0B3BN8MTB/ref=sr_1_22?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-22,1230,Apple,Apple MacBook Air avec puce M2,13.6 Pouces,Gris sidéral,"Apple 2022 MacBook Air avec Puce M2 : écran Liquid Retina de 13,6 Pouces, 8GB de RAM, 256 Go de Stockage SSD ; Gris sidéral",https://m.media-amazon.com/images/I/719l0++ZQfL._AC_SX342_SY445_.jpg
https://www.amazon.fr/Acer-ANV15-51-53UN-Ordinateur-Portable-i5-13420H/dp/B0C78H33M1/ref=sr_1_21?dib=eyJ2IjoiMSJ9.EEQRf2TYRwMUJqAYJ4yWLYj374rU3f5MsSildICopRdg5npuEF6HTiqDaa2TYyHJTsBTk6X02RbiDSVm9ti2Fotn-LGvp6T98LEOxKYNksb1a1ZvtsAUDDoN95l-O0B8kgy_1wvKN_H2ouPb0juVjJrLNqvHflfRB8hvbfGx6FF5ozEWTdkrd1iXk82gMhRwMdzZAIon66gvSYd_jhMoJHy0g0gLuwmSW2vZraP9dXj4GHMrRU8riqzPiNRDA940M-2eQMRUOnyr8UzrVr2KfvgxIgOaJ3GVcjcHOf-2898.by6l6S9UtxMzlrPU-d-JSZFjsWk1PKJ-RgsCM3UwXo0&dib_tag=se&qid=1709245257&s=computers&sr=1-21,899,Acer,Nitro,15.6 Pouces,,"Acer Nitro ANV15-51-53UN Ordinateur Portable Gaming 15,6'' Full HD IPS 144Hz, PC Portable Gamer (Intel Core i5-13420H, NVIDIA GeForce RTX 4050, RAM 16Go, 512Go SSD, Windows 11) - Clavier AZERTY, Noir",https://m.media-amazon.com/images/I/71e46bHKdTL._AC_SX679_.jpg
